,자치구,인구,인구.1,인구.2
3,종로구,153684,74018,79666
21,중구,131450,63869,67581
37,용산구,236518,114571,121947
54,성동구,291609,141662,149947
72,광진구,353110,169525,183585
88,동대문구,352592,172318,180274
103,중랑구,393600,193623,199977
120,성북구,442680,212277,230403
141,강북구,300824,145934,154890
155,도봉구,318100,154440,163660
170,노원구,514445,247417,267028
190,은평구,476013,227172,248841
207,서대문구,317075,149805,167270
222,마포구,378629,176886,201743
239,양천구,449378,219882,229496
258,강서구,578426,277797,300629
279,구로구,419984,208027,211957
296,금천구,244901,123959,120942
307,영등포구,400241,198080,202161
326,동작구,394649,190377,204272
342,관악구,500336,250450,249886
364,서초구,413677,197665,216012
383,강남구,537338,257096,280242
406,송파구,668261,321963,346298
434,강동구,465097,227891,237206
