,동
0,가락1동
1,가락2동
2,가락본동
3,가리봉동
4,가산동
5,가양1동
6,가양2동
7,가양3동
8,가회동
9,갈현1동
10,갈현2동
11,강일동
12,개봉1동
13,개봉2동
14,개봉3동
15,개포1동
16,개포2동
17,개포4동
18,거여1동
19,거여2동
20,고덕1동
21,고덕2동
22,고척1동
23,고척2동
24,공덕동
25,공릉1동
26,공릉2동
27,공항동
28,광장동
29,광희동
30,교남동
31,구로1동
32,구로2동
33,구로3동
34,구로4동
35,구로5동
36,구산동
37,구의1동
38,구의2동
39,구의3동
40,군자동
41,금호1가동
42,금호2·3가동
43,금호4가동
44,길동
45,길음1동
46,길음2동
47,낙성대동
48,난곡동
49,난향동
50,남가좌1동
51,남가좌2동
52,남영동
53,남현동
54,내곡동
55,노량진1동
56,노량진2동
57,녹번동
58,논현1동
59,논현2동
60,능동
61,다산동
62,답십리1동
63,답십리2동
64,당산1동
65,당산2동
66,대림1동
67,대림2동
68,대림3동
69,대방동
70,대조동
71,대치1동
72,대치2동
73,대치4동
74,대학동
75,대흥동
76,도곡1동
77,도곡2동
78,도림동
79,도봉1동
80,도봉2동
81,도화동
82,독산1동
83,독산2동
84,독산3동
85,독산4동
86,돈암1동
87,돈암2동
88,동선동
89,동화동
90,둔촌1동
91,둔촌2동
92,등촌1동
93,등촌2동
94,등촌3동
95,마장동
96,마천1동
97,마천2동
98,망우3동
99,망우본동
100,망원1동
101,망원2동
102,면목2동
103,면목3·8동
104,면목4동
105,면목5동
106,면목7동
107,면목본동
108,명동
109,명일1동
110,명일2동
111,목1동
112,목2동
113,목3동
114,목4동
115,목5동
116,무악동
117,묵1동
118,묵2동
119,문래동
120,문정1동
121,문정2동
122,미성동
123,미아동
124,반포1동
125,반포2동
126,반포3동
127,반포4동
128,반포본동
129,발산1동
130,방배1동
131,방배2동
132,방배3동
133,방배4동
134,방배본동
135,방이1동
136,방이2동
137,방학1동
138,방학2동
139,방학3동
140,방화1동
141,방화2동
142,방화3동
143,번1동
144,번2동
145,번3동
146,보광동
147,보라매동
148,보문동
149,부암동
150,북가좌1동
151,북가좌2동
152,북아현동
153,불광1동
154,불광2동
155,사근동
156,사당1동
157,사당2동
158,사당3동
159,사당4동
160,사당5동
161,사직동
162,삼각산동
163,삼선동
164,삼성1동
165,삼성2동
166,삼성동
167,삼양동
168,삼전동
169,삼청동
170,상계10동
171,상계1동
172,상계2동
173,상계3·4동
174,상계5동
175,상계6·7동
176,상계8동
177,상계9동
178,상도1동
179,상도2동
180,상도3동
181,상도4동
182,상봉1동
183,상봉2동
184,상암동
185,상일동
186,서강동
187,서교동
188,서림동
189,서빙고동
190,서원동
191,서초1동
192,서초2동
193,서초3동
194,서초4동
195,석관동
196,석촌동
197,성내1동
198,성내2동
199,성내3동
200,성북동
201,성산1동
202,성산2동
203,성수1가1동
204,성수1가2동
205,성수2가1동
206,성수2가3동
207,성현동
208,세곡동
209,소공동
210,송정동
211,송중동
212,송천동
213,송파1동
214,송파2동
215,수궁동
216,수색동
217,수서동
218,수유1동
219,수유2동
220,수유3동
221,숭인1동
222,숭인2동
223,시흥1동
224,시흥2동
225,시흥3동
226,시흥4동
227,시흥5동
228,신길1동
229,신길3동
230,신길4동
231,신길5동
232,신길6동
233,신길7동
234,신내1동
235,신내2동
236,신당5동
237,신당동
238,신대방1동
239,신대방2동
240,신도림동
241,신림동
242,신사1동
243,신사2동
244,신사동
245,신사동
246,신수동
247,신원동
248,신월1동
249,신월2동
250,신월3동
251,신월4동
252,신월5동
253,신월6동
254,신월7동
255,신정1동
256,신정2동
257,신정3동
258,신정4동
259,신정6동
260,신정7동
261,신촌동
262,쌍문1동
263,쌍문2동
264,쌍문3동
265,쌍문4동
266,아현동
267,안암동
268,암사1동
269,암사2동
270,암사3동
271,압구정동
272,약수동
273,양재1동
274,양재2동
275,양평1동
276,양평2동
277,여의동
278,역삼1동
279,역삼2동
280,역촌동
281,연남동
282,연희동
283,염리동
284,염창동
285,영등포동
286,영등포본동
287,오금동
288,오류1동
289,오류2동
290,오륜동
291,옥수동
292,왕십리2동
293,왕십리도선동
294,용강동
295,용답동
296,용문동
297,용산2가동
298,용신동
299,우이동
300,우장산동
301,원효로1동
302,원효로2동
303,월계1동
304,월계2동
305,월계3동
306,월곡1동
307,월곡2동
308,위례동
309,은천동
310,을지로동
311,응봉동
312,응암1동
313,응암2동
314,응암3동
315,이문1동
316,이문2동
317,이촌1동
318,이촌2동
319,이태원1동
320,이태원2동
321,이화동
322,인수동
323,인헌동
324,일원1동
325,일원2동
326,일원본동
327,자양1동
328,자양2동
329,자양3동
330,자양4동
331,잠실2동
332,잠실3동
333,잠실4동
334,잠실6동
335,잠실7동
336,잠실본동
337,잠원동
338,장안1동
339,장안2동
340,장위1동
341,장위2동
342,장위3동
343,장지동
344,장충동
345,전농1동
346,전농2동
347,정릉1동
348,정릉2동
349,정릉3동
350,정릉4동
351,제기동
352,조원동
353,종로1·2·3·4가동
354,종로5·6가동
355,종암동
356,중계1동
357,중계2·3동
358,중계4동
359,중계본동
360,중곡1동
361,중곡2동
362,중곡3동
363,중곡4동
364,중림동
365,중앙동
366,중화1동
367,중화2동
368,증산동
369,진관동
370,창1동
371,창2동
372,창3동
373,창4동
374,창5동
375,창신1동
376,창신2동
377,창신3동
378,천연동
379,천호1동
380,천호2동
381,천호3동
382,청구동
383,청담동
384,청량리동
385,청룡동
386,청림동
387,청운효자동
388,청파동
389,충현동
390,평창동
391,풍납1동
392,풍납2동
393,필동
394,하계1동
395,하계2동
396,한강로동
397,한남동
398,합정동
399,항동
400,행당1동
401,행당2동
402,행운동
403,혜화동
404,홍은1동
405,홍은2동
406,홍제1동
407,홍제2동
408,홍제3동
409,화곡1동
410,화곡2동
411,화곡3동
412,화곡4동
413,화곡6동
414,화곡8동
415,화곡본동
416,화양동
417,황학동
418,회기동
419,회현동
420,효창동
421,후암동
422,휘경1동
423,휘경2동
424,흑석동
