시군구명,읍면동명,혼잡시간강도,정규화
종로구,사직동,95.12,0.937483887599897
종로구,삼청동,53.03,0.3949471513276618
종로구,부암동,74.4,0.6704047434905904
종로구,평창동,59.39,0.4769270430523331
종로구,무악동,67.78,0.5850734725444703
종로구,교남동,71.99,0.6393400360917761
종로구,가회동,75.69,0.6870327403970096
종로구,종로1·2·3·4가동,85.28,0.8106470739881413
종로구,종로5·6가동,89.97,0.8711007991750451
종로구,이화동,66.47,0.5681876772364012
종로구,창신1동,98.02,0.9748646558391337
종로구,창신2동,72.83,0.6501675689610724
종로구,창신3동,22.39,0.0
종로구,숭인1동,82.61,0.7762309873678783
종로구,숭인2동,98.56,0.9818252126836814
종로구,청운효자동,52.06,0.38244392884764117
종로구,혜화동,72.55,0.6465583913379737
중구,소공동,72.15,0.6414024233049755
중구,회현동,70.17,0.6158803815416345
중구,명동,73.12,0.6539056457849962
중구,필동,55.82,0.43091002835782416
중구,장충동,55.4,0.4254962619231761
중구,광희동,73.04,0.6528744521783966
중구,을지로동,77.94,0.7160350605826243
중구,신당5동,75.93,0.6901263212168085
중구,황학동,83.98,0.7938901778808972
중구,중림동,65.93,0.5612271203918536
중구,신당동,78.0,0.7168084557875741
중구,다산동,57.04,0.4466357308584687
중구,약수동,64.06,0.537122969837587
중구,청구동,89.58,0.8660737303428718
중구,동화동,76.39,0.6960556844547564
용산구,후암동,44.09,0.27971126579015215
용산구,용산2가동,46.73,0.31374065480794017
용산구,남영동,65.86,0.5603248259860789
용산구,원효로2동,70.8,0.6240010311936066
용산구,효창동,67.1,0.5763083268883732
용산구,용문동,81.06,0.7562516112400104
용산구,이촌1동,77.47,0.7099767981438515
용산구,이촌2동,84.73,0.8035576179427688
용산구,이태원1동,55.36,0.42498066511987626
용산구,이태원2동,51.23,0.3717452951791699
용산구,서빙고동,70.25,0.6169115751482341
용산구,보광동,76.32,0.6951533900489816
용산구,청파동,67.72,0.5843000773395205
용산구,원효로1동,64.02,0.5366073730342872
용산구,한강로동,64.23,0.5393142562516113
용산구,한남동,57.66,0.45462748130961583
성동구,왕십리2동,68.17,0.5901005413766435
성동구,마장동,60.8,0.4951018303686517
성동구,사근동,57.94,0.4582366589327146
성동구,행당1동,59.13,0.4735756638308843
성동구,행당2동,68.72,0.597189997422016
성동구,응봉동,48.16,0.3321732405259087
성동구,금호1가동,69.97,0.6133023975251354
성동구,금호4가동,61.06,0.4984532095901006
성동구,성수1가1동,75.69,0.6870327403970096
성동구,성수1가2동,73.98,0.6649909770559423
성동구,성수2가1동,89.15,0.8605310647073989
성동구,성수2가3동,78.12,0.7183552461974736
성동구,송정동,70.46,0.6196184583655581
성동구,용답동,55.43,0.4258829595256509
성동구,왕십리도선동,73.37,0.6571281258056201
성동구,금호2·3가동,55.65,0.42871874194379994
성동구,옥수동,60.99,0.49755091518432587
광진구,화양동,88.21,0.8484145398298529
광진구,군자동,89.6,0.8663315287445217
광진구,중곡1동,84.38,0.7990461459138953
광진구,중곡2동,94.51,0.9296210363495747
광진구,중곡3동,81.56,0.7626965712812581
광진구,중곡4동,81.1,0.7567672080433101
광진구,능동,69.05,0.6014436710492395
광진구,구의1동,89.0,0.8585975766950245
광진구,구의2동,95.32,0.9400618716163959
광진구,구의3동,66.59,0.5697344676463006
광진구,광장동,76.26,0.694379994844032
광진구,자양1동,74.62,0.6732405259087394
광진구,자양2동,71.87,0.6377932456818768
광진구,자양3동,77.41,0.7092034029389017
광진구,자양4동,91.0,0.8843774168600155
동대문구,회기동,88.0,0.845707656612529
동대문구,휘경1동,82.33,0.7726218097447796
동대문구,휘경2동,70.0,0.6136890951276102
동대문구,청량리동,78.8,0.7271203918535705
동대문구,용신동,76.41,0.6963134828564063
동대문구,제기동,71.87,0.6377932456818768
동대문구,전농1동,78.21,0.7195153390048981
동대문구,전농2동,49.5,0.3494457334364527
동대문구,답십리2동,62.13,0.5122454240783707
동대문구,장안1동,53.72,0.40384119618458364
동대문구,장안2동,55.29,0.42407837071410154
동대문구,이문1동,60.63,0.4929105439546275
동대문구,이문2동,60.39,0.4898169631348286
동대문구,답십리1동,49.3,0.3468677494199536
중랑구,면목2동,81.91,0.7672080433101315
중랑구,면목4동,75.43,0.6836813611755608
중랑구,면목5동,76.74,0.7005671564836298
중랑구,면목7동,64.86,0.5474349059035833
중랑구,상봉1동,59.19,0.47434905903583396
중랑구,상봉2동,94.3,0.9269141531322506
중랑구,중화1동,91.01,0.8845063160608405
중랑구,중화2동,85.2,0.8096158803815416
중랑구,묵1동,83.38,0.7861562258313998
중랑구,묵2동,76.35,0.6955400876514565
중랑구,망우3동,76.81,0.7014694508894045
중랑구,신내1동,73.75,0.6620262954369683
중랑구,신내2동,74.77,0.6751740139211136
중랑구,면목본동,78.02,0.717066254189224
중랑구,면목3·8동,68.83,0.5986078886310905
중랑구,망우본동,87.33,0.8370714101572571
성북구,돈암1동,58.42,0.46442382057231246
성북구,돈암2동,40.4,0.23214746068574374
성북구,안암동,67.92,0.5868780613560196
성북구,보문동,53.82,0.4051301881928332
성북구,정릉1동,54.86,0.41853570507862853
성북구,정릉2동,85.83,0.8177365300335138
성북구,정릉3동,73.12,0.6539056457849962
성북구,정릉4동,65.18,0.551559680329982
성북구,길음1동,65.77,0.5591647331786542
성북구,길음2동,77.14,0.705723124516628
성북구,월곡1동,67.56,0.5822376901263212
성북구,월곡2동,74.04,0.665764372260892
성북구,장위1동,82.52,0.7750708945604536
성북구,장위2동,89.43,0.8641402423304977
성북구,장위3동,58.68,0.46777519979376125
성북구,성북동,66.93,0.5741170404743492
성북구,삼선동,71.25,0.6298014952307296
성북구,동선동,64.75,0.5460170146945089
성북구,종암동,60.11,0.48620778551172983
성북구,석관동,78.53,0.7236401134312967
강북구,번1동,75.15,0.680072183552462
강북구,번2동,59.69,0.4807940190770817
강북구,번3동,48.82,0.34068058778035576
강북구,수유1동,56.78,0.44328435163701985
강북구,수유2동,65.91,0.5609693219902037
강북구,수유3동,78.36,0.7214488270172725
강북구,삼양동,58.48,0.46519721577726214
강북구,미아동,55.89,0.4318123227635989
강북구,송중동,66.34,0.5665119876256768
강북구,송천동,72.52,0.6461716937354988
강북구,삼각산동,73.96,0.6647331786542923
강북구,우이동,65.8,0.5595514307811291
강북구,인수동,82.42,0.7737819025522042
도봉구,쌍문1동,58.68,0.46777519979376125
도봉구,쌍문2동,79.4,0.7348543439030679
도봉구,쌍문3동,76.45,0.6968290796597062
도봉구,쌍문4동,69.15,0.6027326630574891
도봉구,방학1동,67.19,0.5774684196957979
도봉구,방학2동,64.54,0.5433101314771849
도봉구,방학3동,53.89,0.4060324825986079
도봉구,창1동,65.43,0.5547821603506059
도봉구,창2동,54.31,0.41144624903325605
도봉구,창3동,76.9,0.7026295436968292
도봉구,창4동,52.0,0.38167053364269143
도봉구,창5동,63.05,0.5241041505542665
도봉구,도봉1동,55.73,0.42974993555039953
도봉구,도봉2동,60.41,0.49007476153647844
노원구,월계1동,71.57,0.6339262696571281
노원구,월계2동,47.32,0.3213457076566125
노원구,월계3동,63.28,0.5270688321732405
노원구,공릉2동,50.52,0.3625934519205981
노원구,하계1동,54.95,0.41969579788605316
노원구,하계2동,92.92,0.9091260634184068
노원구,중계본동,62.31,0.51456560969322
노원구,중계1동,57.89,0.45759216292858984
노원구,중계4동,66.84,0.5729569476669245
노원구,상계1동,79.06,0.7304717710750194
노원구,상계2동,72.97,0.6519721577726219
노원구,상계5동,72.62,0.6474606857437485
노원구,상계8동,93.84,0.9209847898943027
노원구,상계9동,82.1,0.7696571281258056
노원구,상계10동,85.67,0.8156741428203146
노원구,상계3·4동,59.49,0.47821603506058263
노원구,상계6·7동,91.24,0.8874709976798143
노원구,중계2·3동,78.38,0.7217066254189224
노원구,공릉1동,78.65,0.7251869038411962
은평구,녹번동,57.47,0.4521783964939417
은평구,불광1동,61.56,0.5048981696313484
은평구,갈현1동,96.74,0.9583655581335395
은평구,갈현2동,82.05,0.7690126321216808
은평구,구산동,69.78,0.6108533127094612
은평구,대조동,74.24,0.668342356277391
은평구,응암1동,60.49,0.49110595514307814
은평구,응암2동,72.33,0.6437226089198247
은평구,신사1동,85.96,0.8194122196442382
은평구,신사2동,99.96,0.999871100799175
은평구,증산동,90.89,0.8829595256509409
은평구,수색동,56.13,0.4349059035833978
은평구,진관동,80.5,0.7490332559938129
은평구,불광2동,81.63,0.7635988656870327
은평구,응암3동,69.85,0.6117556071152358
은평구,역촌동,85.27,0.8105181747873162
서대문구,천연동,91.49,0.8906934777004382
서대문구,홍제1동,73.19,0.6548079401907708
서대문구,홍제3동,81.79,0.7656612529002321
서대문구,홍제2동,63.05,0.5241041505542665
서대문구,홍은1동,65.97,0.5617427171951533
서대문구,홍은2동,76.67,0.6996648620778552
서대문구,남가좌1동,59.29,0.4756380510440835
서대문구,남가좌2동,81.69,0.7643722608919824
서대문구,북가좌1동,70.78,0.6237432327919568
서대문구,북가좌2동,76.79,0.7012116524877546
서대문구,충현동,76.76,0.7008249548852797
서대문구,북아현동,99.97,1.0
서대문구,신촌동,97.71,0.9708687806135601
서대문구,연희동,86.23,0.8228924980665121
마포구,용강동,93.25,0.9133797370456304
마포구,대흥동,78.99,0.7295694766692445
마포구,염리동,70.33,0.6179427687548337
마포구,신수동,85.42,0.8124516627996907
마포구,서교동,89.28,0.8622067543181232
마포구,합정동,91.77,0.8943026553235369
마포구,망원1동,93.05,0.9108017530291312
마포구,망원2동,93.21,0.9128641402423304
마포구,연남동,73.31,0.6563547306006703
마포구,성산1동,75.01,0.6782675947409127
마포구,성산2동,77.11,0.7053364269141531
마포구,상암동,61.18,0.5
마포구,도화동,96.12,0.9503738076823924
마포구,서강동,80.64,0.7508378448053622
마포구,공덕동,75.68,0.6869038411961846
마포구,아현동,98.15,0.9765403454498583
양천구,목1동,52.46,0.38759989688063934
양천구,목2동,79.85,0.7406548079401907
양천구,목3동,72.83,0.6501675689610724
양천구,목4동,70.21,0.6163959783449342
양천구,신월1동,53.83,0.4052590873936581
양천구,신월2동,55.41,0.425625161124001
양천구,신월3동,61.77,0.5076050528486724
양천구,신월4동,48.04,0.3306264501160093
양천구,신월5동,72.32,0.6435937097189997
양천구,신월6동,60.27,0.4882701727249292
양천구,신월7동,61.4,0.502835782418149
양천구,신정1동,68.35,0.5924207269914926
양천구,신정2동,64.13,0.5380252642433616
양천구,신정3동,51.54,0.3757411704047435
양천구,신정6동,54.27,0.41093065222995623
양천구,신정7동,68.86,0.5989945862335654
양천구,목5동,46.52,0.3110337715906162
양천구,신정4동,52.6,0.3894044856921887
강서구,염창동,82.05,0.7690126321216808
강서구,등촌1동,90.07,0.8723897911832946
강서구,등촌2동,87.51,0.8393915957721063
강서구,등촌3동,83.68,0.7900232018561486
강서구,화곡본동,60.24,0.4878834751224543
강서구,화곡2동,28.09,0.07347254447022428
강서구,화곡3동,69.59,0.6084042278937871
강서구,화곡4동,35.2,0.16511987625676725
강서구,화곡6동,73.44,0.6580304202113947
강서구,화곡8동,72.16,0.6415313225058005
강서구,가양1동,66.87,0.5733436452693994
강서구,가양2동,71.82,0.6371487496777519
강서구,가양3동,65.03,0.5496261923176077
강서구,발산1동,55.9,0.4319412219644238
강서구,공항동,64.62,0.5443413250837845
강서구,방화1동,78.28,0.7204176334106729
강서구,방화2동,76.99,0.7037896365042536
강서구,방화3동,56.45,0.4390306780097964
강서구,화곡1동,51.27,0.37226089198246975
강서구,우장산동,68.59,0.5955143078112917
구로구,신도림동,88.51,0.8522815158546018
구로구,구로1동,60.11,0.48620778551172983
구로구,구로3동,70.19,0.6161381799432843
구로구,구로4동,52.35,0.38618200567156485
구로구,구로5동,58.73,0.468419695797886
구로구,고척1동,61.77,0.5076050528486724
구로구,고척2동,64.6,0.5440835266821346
구로구,개봉2동,48.99,0.34287187419438003
구로구,개봉3동,70.91,0.625418922402681
구로구,오류1동,95.47,0.9419953596287703
구로구,오류2동,56.92,0.4450889404485692
구로구,수궁동,55.86,0.431425625161124
구로구,가리봉동,60.59,0.4923949471513277
구로구,구로2동,80.68,0.7513534416086621
구로구,항동,66.48,0.5683165764372261
구로구,개봉1동,71.62,0.6345707656612529
금천구,가산동,81.55,0.7625676720804331
금천구,독산1동,75.21,0.6808455787574116
금천구,독산2동,63.79,0.5336426914153132
금천구,독산3동,61.93,0.5096674400618716
금천구,독산4동,81.03,0.7558649136375355
금천구,시흥1동,91.72,0.8936581593194122
금천구,시흥2동,39.63,0.22222222222222227
금천구,시흥3동,92.26,0.9006187161639598
금천구,시흥4동,73.43,0.6579015210105699
금천구,시흥5동,46.92,0.31618973962361435
영등포구,여의동,66.31,0.5661252900232019
영등포구,당산1동,71.56,0.6337973704563032
영등포구,당산2동,59.81,0.4823408094869812
영등포구,양평1동,84.05,0.7947924722866718
영등포구,양평2동,83.68,0.7900232018561486
영등포구,신길1동,46.55,0.31142046919309097
영등포구,신길3동,66.98,0.5747615364784739
영등포구,신길4동,59.81,0.4823408094869812
영등포구,신길5동,62.01,0.5106986336684712
영등포구,신길6동,64.72,0.545630317092034
영등포구,신길7동,54.37,0.4122196442382057
영등포구,대림1동,71.38,0.6314771848414539
영등포구,대림2동,63.75,0.5331270946120135
영등포구,대림3동,64.07,0.5372518690384119
영등포구,영등포본동,57.15,0.4480536220675432
영등포구,영등포동,75.93,0.6901263212168085
영등포구,도림동,49.94,0.3551172982727507
영등포구,문래동,71.15,0.6285125032224801
동작구,노량진2동,41.77,0.2498066511987626
동작구,상도1동,61.39,0.502706883217324
동작구,상도2동,74.61,0.6731116267079144
동작구,상도3동,72.59,0.6470739881412736
동작구,상도4동,54.03,0.4078370714101573
동작구,사당1동,64.54,0.5433101314771849
동작구,사당3동,48.32,0.33423562773910803
동작구,사당4동,74.38,0.6701469450889403
동작구,사당5동,74.26,0.6686001546790411
동작구,대방동,54.19,0.4098994586233565
동작구,신대방1동,41.17,0.2420726991492653
동작구,신대방2동,65.79,0.5594225315803043
동작구,흑석동,80.64,0.7508378448053622
동작구,노량진1동,51.6,0.37651456560969326
동작구,사당2동,66.59,0.5697344676463006
관악구,보라매동,74.02,0.6655065738592421
관악구,청림동,43.23,0.26862593451920597
관악구,행운동,62.97,0.5230729569476669
관악구,낙성대동,67.26,0.5783707141015726
관악구,중앙동,69.57,0.608146429492137
관악구,남현동,60.0,0.48478989430265534
관악구,서원동,74.09,0.6664088682650168
관악구,신원동,68.51,0.594483114204692
관악구,서림동,63.4,0.52861562258314
관악구,신사동,57.38,0.4510183036865172
관악구,신림동,62.25,0.5137922144882702
관악구,난향동,50.5,0.3623356535189482
관악구,조원동,47.06,0.31799432843516373
관악구,대학동,53.1,0.39584944573343644
관악구,은천동,55.6,0.4280742459396752
관악구,성현동,64.09,0.5375096674400619
관악구,청룡동,59.72,0.4811807166795566
관악구,난곡동,57.81,0.45656096932199025
관악구,삼성동,46.82,0.3149007476153648
관악구,미성동,57.52,0.45282289249806656
관악구,인헌동,59.74,0.48143851508120655
서초구,서초1동,79.44,0.7353699407063676
서초구,서초2동,79.61,0.7375612271203918
서초구,서초3동,66.83,0.5728280484660995
서초구,서초4동,84.55,0.8012374323279196
서초구,잠원동,80.12,0.7441350863624646
서초구,반포본동,74.17,0.6674400618716164
서초구,반포1동,80.12,0.7441350863624646
서초구,반포2동,70.36,0.6183294663573086
서초구,반포3동,83.81,0.7916988914668729
서초구,반포4동,69.84,0.611626707914411
서초구,방배본동,61.69,0.5065738592420727
서초구,방배1동,66.01,0.5622583139984533
서초구,방배2동,55.35,0.4248517659190513
서초구,방배3동,53.88,0.405903583397783
서초구,방배4동,76.84,0.7018561484918794
서초구,양재1동,77.61,0.7117813869554008
서초구,양재2동,79.8,0.7400103119360659
서초구,내곡동,48.4,0.3352668213457076
강남구,신사동,75.51,0.6847125547821604
강남구,논현1동,75.11,0.6795565867491622
강남구,논현2동,67.63,0.5831399845320958
강남구,삼성1동,80.06,0.7433616911575148
강남구,삼성2동,70.53,0.6205207527713328
강남구,대치1동,59.11,0.4733178654292343
강남구,대치4동,76.5,0.697473575663831
강남구,역삼1동,74.29,0.668986852281516
강남구,역삼2동,71.43,0.6321216808455788
강남구,도곡1동,66.28,0.565738592420727
강남구,도곡2동,61.07,0.4985821087909255
강남구,개포1동,90.25,0.8747099767981439
강남구,개포4동,72.94,0.651585460170147
강남구,일원본동,48.79,0.34029389017788086
강남구,일원1동,62.11,0.5119876256767208
강남구,일원2동,70.9,0.6252900232018562
강남구,수서동,77.66,0.7124258829595256
강남구,세곡동,62.01,0.5106986336684712
강남구,압구정동,76.57,0.6983758700696054
강남구,청담동,86.38,0.8248259860788862
강남구,대치2동,82.73,0.7777777777777778
강남구,개포2동,73.01,0.6524877545759217
송파구,풍납1동,82.58,0.7758442897654034
송파구,풍납2동,55.02,0.4205980922918278
송파구,거여1동,85.82,0.8176076308326887
송파구,거여2동,65.31,0.5532353699407064
송파구,마천1동,76.17,0.6932199020366074
송파구,마천2동,70.45,0.6194895591647333
송파구,방이1동,41.56,0.24709976798143854
송파구,방이2동,62.81,0.5210105697344677
송파구,오륜동,46.47,0.3103892755864914
송파구,오금동,58.73,0.468419695797886
송파구,송파1동,91.87,0.8955916473317866
송파구,송파2동,62.36,0.5152101056973447
송파구,석촌동,65.81,0.5596803299819542
송파구,삼전동,40.88,0.2383346223253416
송파구,가락본동,78.06,0.7175818509925239
송파구,가락1동,51.32,0.3729053879865945
송파구,가락2동,62.32,0.5146945088940449
송파구,문정1동,89.86,0.8696829079659706
송파구,문정2동,69.56,0.6080175302913122
송파구,잠실본동,55.86,0.431425625161124
송파구,잠실4동,56.69,0.4421242588295952
송파구,잠실6동,74.37,0.6700180458881155
송파구,잠실7동,54.32,0.411575148234081
송파구,잠실2동,67.12,0.5765661252900233
송파구,잠실3동,74.8,0.6755607115235885
송파구,장지동,87.35,0.8373292085589069
송파구,위례동,83.29,0.7849961330239753
강동구,강일동,82.21,0.7710750193348801
강동구,상일동,79.04,0.7302139726733695
강동구,명일1동,77.82,0.7144882701727249
강동구,명일2동,61.91,0.5094096416602216
강동구,고덕1동,41.81,0.25032224800206243
강동구,고덕2동,66.89,0.5736014436710493
강동구,암사2동,60.07,0.48569218870843
강동구,암사3동,49.78,0.35305491105955145
강동구,천호1동,86.66,0.828435163701985
강동구,천호3동,96.94,0.9609435421500386
강동구,성내1동,52.12,0.38321732405259085
강동구,성내2동,73.55,0.6594483114204691
강동구,성내3동,60.59,0.4923949471513277
강동구,둔촌1동,48.73,0.33952049497293113
강동구,둔촌2동,54.4,0.41260634184068057
강동구,암사1동,68.03,0.5882959525650941
강동구,천호2동,59.84,0.4827275070894561
강동구,길동,85.7,0.8160608404227895
