지역,2016,2017,2018,2019,2020,2021
강원도,25,164,239,256,350,365
경기도,145,766,1702,1798,2081,2153
경상남도,113,255,513,563,649,738
경상북도,47,214,336,409,439,514
광주광역시,28,72,139,162,212,223
대구광역시,33,367,519,569,639,644
대전광역시,15,222,268,284,306,320
부산광역시,29,155,284,310,332,359
서울특별시,121,581,1250,1324,1467,1490
세종특별자치시,3,111,178,188,195,197
울산광역시,10,66,103,107,110,122
인천광역시,20,223,378,385,450,470
전라남도,89,217,343,365,398,418
전라북도,25,113,300,312,384,407
제주특별자치도,29,213,363,398,428,493
충청남도,21,134,221,240,298,340
충청북도,44,98,306,341,398,419
