순위,지역,정류장명,승차,하차,총 이용인원,
1,서울특별시,잠실광역환승센터(4117121),"17,089","15,381","32,470",
2,서울특별시,사당역(중)(4121334),398,"17,130","17,529",
3,서울특별시,미아사거리역(8000547),"8,733","8,328","17,061",
4,서울특별시,구로디지털단지역(0010718),"4,808","11,841","16,649",
5,서울특별시,수유역.강북구청(0070707),"7,970","8,618","16,588",
6,서울특별시,미아사거리역(0072572),"7,131","5,969","13,100",
7,서울특별시,지하철2호선강남역(8003138),"8,005","4,380","12,385",
8,서울특별시,고속터미널(8001908),"5,626","6,687","12,313",
9,서울특별시,수유(강북구청)역(8501377),"5,734","6,494","12,228",
10,서울특별시,고속터미널(8002144),"7,409","4,453","11,862",
,,,,,,
